phases,sfcode,numfr,numint,weight
MZ2,EPG,1,0,0.15
MZ2,LMP,0,0,
MZ2,EPG,1,0,0.5
MZ2,SLA,7,0,168
MZ2,YYY,1,0,2.57
MZ2,CRS,0,1,35
MZ2,ECL,0,1,690
MZ2,ECL,0,1,652
MZ2,ECL,0,1,57
MZ2,DEJ,1,0,1
MZ2,DEC,2,0,1
MZ2,SLA,2,0,68
MZ2,SLA,1,0,61
MZ2,CLO,1,0,11
MZ2,LMP,0,0,
MZ2,VSH,0,1,0
MZ2,PGR,1,0,3121
MZ2,ZZZ,1,0,21
MZ2,OPS,1,0,19
MZ2,ZZZ,2,0,703
MZ2,ZZZ,0,1,6
MZ2,DAU,2,0,105
MZ2,DAU,6,0,1167
MZ2,WAS,1,0,40
MZ2,VSR,1,0,0
MZ2,TES,0,1,8
MZ2,YYY,1,0,1
MZ2,TEG,5,0,350
MZ2,STU,1,0,2.05
MZ2,SLA,0,1,24.12
MZ2,SLA,1,0,19
MZ2,STU,0,1,1.49
MZ2,SLA,1,0,15
MZ2,SLA,1,0,17
MZ2,YYY,1,0,8
MZ3,SLA,1,0,6.6
MZ3,PCT,0,1,13.62
MZ3,LMP,0,0,
MZ3,ZZZ,1,0,0.5
MZ3,ZZZ,1,0,72
MZ3,SLA,2,0,96
MZ3,ANO,0,1,14
MZ3,SLA,4,0,34.6
MZ3,ZZZ,0,1,1
MZ3,LAM,1,0,15.96
MZ3,SLA,1,0,18
MZ3,LAM,1,0,7.54
MZ3,KNO,0,1,29.23
MZ3,FLW,1,0,39.76
MZ3,PGR,1,0,0
MZ3,YYY,1,0,3.76
MZ3,FLW,6,0,51.6
MZ3,YYY,1,0,0.21
MZ3,SLA,3,0,60
MZ3,STU,1,0,1.01
MZ3,YYY,1,0,0.62
MZ3,STU,1,0,0.63
MZ3,SLA,4,0,
MZ3,TES,0,1,3
MZ3,ZZZ,1,0,23.06
MZ3,SLA,14,0,100.92
MZ3,CLO,0,1,4
MZ3,SLA,1,0,275
MZ3,CHE,1,0,0.85
MZ3,YYY,1,0,9.47
MZ3,YYY,1,0,1
MZ3,PAR,2,0,
MZ3,YYY,1,0,0.56
MZ3,VSL,1,0,18
MZ3,YYY,1,0,1
MZ3,CLO,0,1,23
MZ3,CLO,1,0,3.1
MZ3,CLO,1,0,8.28
MZ3,CLO,1,0,14.61
MZ3,CLO,1,0,14.8
MZ3,CLO,1,0,23.66
MZ3,CLO,1,0,3.97
MZ3,CLO,1,0,39.48
MZ3,CLO,0,1,32.14
MZ3,EPG,1,0,0.91
MZ3,CLO,0,1,14
MZ3,CLO,0,1,27.67
MZ3,CLO,1,0,12
MZ3,CLO,0,1,16
MZ3,EPE,1,0,29.37
MZ3,EPG,1,0,1.31
MZ3,EPG,1,0,0.83
MZ3,EPG,1,0,1.66
MZ3,EPG,1,0,0.59
MZ3,EPG,1,0,0.8
MZ3,CLO,1,0,6.57
MZ3,CLO,1,0,11
MZ3,AIG,0,1,1
MZ3,AIG,0,1,0.5
MZ3,AIG,1,0,1
MZ3,DAU,2,0,150
MZ3,CLO,1,0,4.35
MZ3,ANO,0,1,1
MZ3,CLO,1,0,6.25
MZ3,ANO,1,0,9
MZ3,CLO,0,1,10.75
MZ3,CLO,1,0,7
MZ3,CLO,1,0,12.24
MZ3,CLO,1,0,2.91
MZ3,CLO,0,1,13.33
MZ3,CLO,5,0,19.68
MZ3,CLO,1,0,1.52
MZ3,CLO,0,1,15
MZ3,CLO,1,0,6.91
MZ3,CLO,0,1,23.52
MZ3,CLO,1,0,20
MZ3,CLO,0,1,10
MZ3,CLO,1,0,14
MZ3,EPG,1,0,1
